0028-0730-0001;0028-0730;c;73001;True;;28-730-01;28-730;Rozdział 73001;Projekty badawcze i celowe w dziedzinie nauk przyrodniczych;3;0;0;251536;0;0;0;21907;273443
0028-0730-0002;0028-0730;c;73002;True;;28-730-02;28-730;Rozdział 73002;Projekty badawcze i celowe w dziedzinie nauk technicznych;4;19000;0;440111;0;0;0;32488;491599
0028-0730-0003;0028-0730;c;73003;True;;28-730-03;28-730;Rozdział 73003;Projekty badawcze i celowe w dziedzinie nauk społecznych, humanistycznych  i ścisłych;5;0;0;136441;0;0;0;1803;138244
0028-0730-0005;0028-0730;c;73005;True;;28-730-05;28-730;Rozdział 73005;Działalność statutowa i inwestycyjna jednostek naukowych oraz badania własne szkół wyższych;6;1932128;3000;2000;235000;0;0;66000;2238128
0028-0730-0006;0028-0730;c;73006;True;;28-730-06;28-730;Rozdział 73006;Działalność wspomagająca badania;7;1000;192;62808;0;0;0;0;64000
0028-0730-0007;0028-0730;c;73007;True;;28-730-07;28-730;Rozdział 73007;Współpraca naukowa i naukowo-techniczna z zagranicą;8;1143;0;108168;0;0;0;85603;194914
0028-0730-0008;0028-0730;c;73008;True;;28-730-08;28-730;Rozdział 73008;Narodowe Centrum Badań i Rozwoju;9;627012;0;0;588;0;0;0;627600
0028-0730-0009;0028-0730;c;73009;True;;28-730-09;28-730;Rozdział 73009;Narodowe Centrum Nauki;10;299965;0;0;5000;0;0;0;304965
0028-0730-0095;0028-0730;c;73095;True;;28-730-95;28-730;Rozdział 73095;Pozostała działalność;11;0;500;3714;0;0;0;49617;53831
0028-0750;0028;b;750;False;;28-750;28;Dział 750;Administracja publiczna;12;0;70;43466;1230;0;0;13923;58689
0028-0750-0001;0028-0750;c;75001;True;;28-750-01;28-750;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;13;0;70;40201;1230;0;0;13923;55424
0028-0750-0076;0028-0750;c;75076;True;;28-750-76;28-750;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;14;0;0;3265;0;0;0;0;3265
0028-0752;0028;b;752;False;;28-752;28;Dział 752;Obrona narodowa;15;0;0;154820;0;0;0;0;154820
0028-0752-0012;0028-0752;c;75212;True;;28-752-12;28-752;Rozdział 75212;Pozostałe wydatki obronne;16;0;0;20;0;0;0;0;20
0028-0752-0021;0028-0752;c;75221;True;;28-752-21;28-752;Rozdział 75221;Projekty badawcze i celowe w dziedzinie obronności;17;0;0;154800;0;0;0;0;154800
0028-0921;0028;b;921;False;;28-921;28;Dział 921;Kultura i ochrona dziedzictwa narodowego;18;8250;0;0;12430;0;0;0;20680
0028-0921-0014;0028-0921;c;92114;True;;28-921-14;28-921;Rozdział 92114;Pozostałe instytucje kultury;19;8250;0;0;12430;0;0;0;20680
0029;;a;29;False;;29;;Część 29;OBRONA NARODOWA;1;903582;6633985;13085339;6636708;0;0;0;27259614
0029-0700;0029;b;700;False;;29-700;29;Dział 700;Gospodarka mieszkaniowa;2;572135;0;0;0;0;0;0;572135
0029-0700-0013;0029-0700;c;70013;True;;29-700-13;29-700;Rozdział 70013;Wojskowa Agencja Mieszkaniowa;3;572135;0;0;0;0;0;0;572135
0029-0710;0029;b;710;False;;29-710;29;Dział 710;Działalność usługowa;4;1491;0;0;0;0;0;0;1491
0029-0710-0032;0029-0710;c;71032;True;;29-710-32;29-710;Rozdział 71032;Agencja Mienia Wojskowego;5;1491;0;0;0;0;0;0;1491
0029-0750;0029;b;750;False;;29-750;29;Dział 750;Administracja publiczna;6;0;15078;223272;10601;0;0;0;248951
0029-0750-0001;0029-0750;c;75001;True;;29-750-01;29-750;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;7;0;406;194592;9436;0;0;0;204434
0029-0750-0057;0029-0750;c;75057;True;;29-750-57;29-750;Rozdział 75057;Placówki zagraniczne;8;0;14672;28090;1165;0;0;0;43927
0029-0750-0076;0029-0750;c;75076;True;;29-750-76;29-750;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii;9;0;0;590;0;0;0;0;590
0029-0752;0029;b;752;False;;29-752;29;Dział 752;Obrona narodowa;10;174175;907860;12340807;6464278;0;0;0;19887120
0029-0752-0001;0029-0752;c;75201;True;;29-752-01;29-752;Rozdział 75201;Wojska Lądowe;11;0;196360;2674097;0;0;0;0;2870457
0029-0752-0002;0029-0752;c;75202;True;;29-752-02;29-752;Rozdział 75202;Siły powietrzne;12;0;78731;1281826;0;0;0;0;1360557
0029-0752-0003;0029-0752;c;75203;True;;29-752-03;29-752;Rozdział 75203;Marynarka Wojenna;13;0;37202;568258;0;0;0;0;605460
0029-0752-0004;0029-0752;c;75204;True;;29-752-04;29-752;Rozdział 75204;Centralne wsparcie;14;0;13899;2234970;5849348;0;0;0;8098217
0029-0752-0007;0029-0752;c;75207;True;;29-752-07;29-752;Rozdział 75207;Żandarmeria Wojskowa;15;0;15534;212770;0;0;0;0;228304
0029-0752-0008;0029-0752;c;75208;True;;29-752-08;29-752;Rozdział 75208;Ordynariat Polowy Wojska Polskiego Polskiego ;16;0;332;20198;0;0;0;0;20530
0029-0752-0009;0029-0752;c;75209;True;;29-752-09;29-752;Rozdział 75209;Prawosławny Ordynariat Wojska;17;0;47;2635;0;0;0;0;2682
0029-0752-0010;0029-0752;c;75210;True;;29-752-10;29-752;Rozdział 75210;Ewangelickie Duszpasterstwo  Wojskowe;18;0;37;1618;0;0;0;0;1655
0029-0752-0013;0029-0752;c;75213;True;;29-752-13;29-752;Rozdział 75213;Dowodzenie i kierowanie Siłami Zbrojnymi Rzeczypospolitej  Polskiej;19;0;10895;403613;0;0;0;0;414508
0029-0752-0015;0029-0752;c;75215;True;;29-752-15;29-752;Rozdział 75215;Zadania związane z utrzymaniem mocy rezerwowych ze względu na potrzeby Sił Zbrojnych Rzeczypospolitej  Polskiej;20;23000;0;0;0;0;0;0;23000
0029-0752-0016;0029-0752;c;75216;True;;29-752-16;29-752;Rozdział 75216;Wojskowe Misje Pokojowe;21;0;393635;254360;576440;0;0;0;1224435
0029-0752-0017;0029-0752;c;75217;True;;29-752-17;29-752;Rozdział 75217;Służba Wywiadu Wojskowego;22;0;2748;84975;18537;0;0;0;106260
