SĄDY POWSZECHNE;15;Sąd Apelacyjny w Lublinie;15/11;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;3474;0;0;0;0;3474
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Lublinie;15/11;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;9;3616;0;0;0;0;3625
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Szczecinie;15/12;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;12044;0;0;0;0;0;12044
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Szczecinie;15/12;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;13591;313114;4043;0;0;0;330748
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Szczecinie;15/12;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;4248;0;0;0;0;4248
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Szczecinie;15/12;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;8;2376;0;0;0;0;2384
KANCELARIA PREZESA RADY MINISTRÓW;16;;;Działalność usługowa;710;Centrum Badania Opinii Społecznej;71031;;;;3124;0;0;0;0;0;0;3124
KANCELARIA PREZESA RADY MINISTRÓW;16;;;Administracja publiczna;750;Urzędy naczelnych i centralnych organów administracji rządowej;75001;;;;0;100;82649;100;0;0;5832;88681
KANCELARIA PREZESA RADY MINISTRÓW;16;;;Administracja publiczna;750;Ośrodek Studiów Wschodnich;75061;;;;0;0;8031;400;0;0;0;8431
KANCELARIA PREZESA RADY MINISTRÓW;16;;;Administracja publiczna;750;Krajowa Szkoła Administracji Publicznej;75065;;;;8832;0;0;0;0;0;101;8933
KANCELARIA PREZESA RADY MINISTRÓW;16;;;Administracja publiczna;750;Rada do Spraw Uchodźców;75068;;;;0;0;630;0;0;0;0;630
KANCELARIA PREZESA RADY MINISTRÓW;16;;;Administracja publiczna;750;Rada do Spraw Polaków na Wschodzie;75074;;;;0;0;150;0;0;0;0;150
KANCELARIA PREZESA RADY MINISTRÓW;16;;;Administracja publiczna;750;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;75076;;;;0;0;2459;0;0;0;570;3029
