"Grupa paragrafów";"Rodzaj finansowania wydatków";"Plan po zmianach";"Zaangażowanie";"Wykonanie wydatków";"Zobowiązania ogółem";"Zobowiązania wymagalne powstałe w latach ubiegłych";"Zobowiązania wymagalne powstałe w roku bieżącym";"Wydatki które nie wygasły z upływem bieżącego roku budżetowego"
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";64000;59264;59264;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";3000;1000;1000;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";15857000;15783184;15783184;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";23686000;22361962;22361962;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2656000;2655653;2655653;2807978;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3022000;2689652;2689652;200952;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";358000;341415;341415;22082;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";54000;37397;37397;2795;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";158000;145186;145186;19350;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1692000;1588714;1588714;7502;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";200000;195674;195674;51;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1720000;1499988;1499988;266494;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1143000;1046884;1046884;12157;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";21000;17447;17447;1370;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7085000;6767590;6767590;738900;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";67000;60697;60697;6791;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";52000;50095;50095;160;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";277000;254595;254595;21179;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";12000;9850;9850;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5000;4443;4443;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";492000;491613;491613;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";483000;464197;464197;319;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";78000;59549;59549;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";52000;51416;51416;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";406000;401861;401861;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";300000;300000;300000;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";138000;130323;130323;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7000;6016;6016;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";9000;8978;8978;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7000;6304;6304;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";308000;300864;300864;30609;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8000;7852;7852;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";68000;63345;63345;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";65000;61749;61749;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";999000;993994;993994;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";995000;960724;960724;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";4685000;4645152;4645152;0;0;0;0
"";"";16466000;16330715;16330715;0;0;0;0
"";"";16466000;16330715;16330715;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";16466000;16330715;16330715;0;0;0;0
"";"";365038000;346853465;346050921;18282254;0;0;0
"";"";347765000;329708577;328906033;18282254;0;0;0
"";"";347765000;329708577;328906033;18282254;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";371104;355110;349331;5779;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";1200;1200;1200;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";13488;13120;13120;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";117397000;114264269;114179256;85013;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";108369000;103414666;103414666;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";15519000;15512384;15512384;16138202;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";18330000;17269115;17255923;1248641;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3025000;2438156;2436120;176288;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1326578;1262611;1257230;5381;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1472273;1436946;1415751;7495;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7089823;6579734;6549613;22037;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";693582;666485;664043;1673;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6488589;6328134;6054326;273808;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4362874;4037405;3991209;4046;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";254886;239494;236801;2693;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";11446512;10499072;10431570;64013;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";253169;253161;253161;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";296543;285999;282352;3647;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";275637;237966;234354;3612;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";868651;765459;759953;5507;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";36670;32608;32608;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";16400;6550;6550;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2241600;2235903;2235903;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1741752;1497562;1478297;19265;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";344320;126504;126504;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";404865;376038;376038;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2518807;2496394;2496394;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6521000;6521000;6521000;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";492966;484327;484327;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5050;1400;1400;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5000;4576;4576;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4000;3046;3046;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";64300;63418;63418;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";29000;27000;27000;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";5712714;5634907;5421853;213054;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";12000;10334;10334;0;0;0;0
