"Część";"Numer części";"Część";"Numer części";"Dział";"Numer działu";"Rozdział";"Numer rozdziału";"Dotacje i subwencje";"Świadczenia na rzecz osób fizycznych";"Wydatki bieżące jednostek budżetowych";"Wydatki majątkowe";"Wydatki na obsługę długu Skarbu Państwa";"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Środki własne Unii Europejskiej";"Ogółem (w tys. zł.)"
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Obrona cywilna";75414;"";"";0;0;116;0;0;0;0;116
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Zadania ratownictwa górskiego i wodnego";75415;"";"";11140;0;0;1109;0;0;0;12249
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Zarządzanie kryzysowe";75421;"";"";0;10;6709;112;0;0;0;6831
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Pozostała działalność";75495;"";"";18889;1301;40964;161;0;0;0;61315
"SPRAWY WEWNĘTRZNE";42;"Szkolnictwo wyższe";803;"";"";"";"";87317;247;0;0;0;0;0;87564
"Szkolnictwo wyższe";803;"SPRAWY WEWNĘTRZNE";42;"Uczelnie służb państwowych";80303;"";"";85825;0;0;0;0;0;0;85825
"Szkolnictwo wyższe";803;"SPRAWY WEWNĘTRZNE";42;"Pomoc materialna dla studentów i doktorantów";80309;"";"";1492;203;0;0;0;0;0;1695
"Szkolnictwo wyższe";803;"SPRAWY WEWNĘTRZNE";42;"Pozostała działalność";80395;"";"";0;44;0;0;0;0;0;44
"SPRAWY WEWNĘTRZNE";42;"Ochrona zdrowia";851;"";"";"";"";2210;84;8421;46368;0;0;0;57083
"Ochrona zdrowia";851;"SPRAWY WEWNĘTRZNE";42;"Inspekcja Sanitarna";85132;"";"";0;0;6427;10;0;0;0;6437
"Ochrona zdrowia";851;"SPRAWY WEWNĘTRZNE";42;"Ratownictwo medyczne";85141;"";"";0;0;982;0;0;0;0;982
"Ochrona zdrowia";851;"SPRAWY WEWNĘTRZNE";42;"Publiczna służba krwi";85143;"";"";1175;0;0;0;0;0;0;1175
"Ochrona zdrowia";851;"SPRAWY WEWNĘTRZNE";42;"Programy polityki zdrowotnej";85149;"";"";825;0;0;5160;0;0;0;5985
"Ochrona zdrowia";851;"SPRAWY WEWNĘTRZNE";42;"Pozostała działalność";85195;"";"";210;84;1012;41198;0;0;0;42504
"SPRAWY WEWNĘTRZNE";42;"Pomoc społeczna";852;"";"";"";"";0;15676;32237;0;0;0;0;47913
"Pomoc społeczna";852;"SPRAWY WEWNĘTRZNE";42;"Pomoc dla cudzoziemców";85231;"";"";0;15676;32237;0;0;0;0;47913
